name,city,birthDate,deathDate,nationality,occupation
Isaac Weissenbruch,Den Haag,1826,1912,,prentmaker
Henri Boute-Dooreman,,1838,1894,,fotograaf
Louis Apol,Den Haag,1850,1936,,prentmaker
Johan Michaël Schmidt Crans,Rotterdam,1830,1907,Netherlands,prentmaker
Pieter Idserts,Franeker,1698,1781,Netherlands,tekenaar
Marius Bauer,Den Haag,1867,1932,,prentmaker
Giuseppe Maria Testana,Genua,1648,1679,,prentmaker
Jean Condé,Frankrijk,1765,1794,,prentmaker
Albert Quantin,,1850,1933,,drukker
François Germain Aliamet,Abbeville,1734,1790,France,prentmaker
Michael Rössler,Neurenberg,1705,1777,,prentmaker
Félix Nadar,Parijs,1820,1910,,fotograaf
Johannes Christiaan Bendorp,Dordrecht,1766,1849,Netherlands,prentmaker
Jan Collaert (II),Antwerpen (stad),1566,1628,,prentmaker
Cornelis Springer,Amsterdam,1817,1891,Netherlands,prentmaker
John Hall,Wivenhoe,1739,1797,Essex,prentmaker
Antonio Suntach,Venetië,1744,1828,,prentmaker
Francesco Bartolozzi,Florence,1727,1815,Italy,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Nicaise De Keyser,Santvliet,1813,1887,,tekenaar
Giuseppe Molini,,1772,1856,,uitgever
George Clausen,Londen,1852,1912,,tekenaar
Julie de Graag,Gorinchem,1877,1924,,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Jules David (1808-1892),Parijs,1808,1892,,tekenaar
Cornelis Galle (II),Antwerpen (stad),1615,1678,,prentmaker
Lodewijk Schelfhout,Den Haag,1881,1943,,prentmaker
Friedrich Justin Bertuch,,1747,1822,,uitgever
Jean Louis Demarne,Brussel (stad),1754,1829,,prentmaker
Henri Gray,,1858,1924,,tekenaar
Jacopo de'Barbari,Venetië,1440,1516,,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
Reijer Stolk,Ngunut,1896,1945,,prentmaker
Hendrik Spilman,Amsterdam,1721,1784,Netherlands,prentmaker
Victor Adam,Parijs,1801,1866,,prentmaker
Stefano della Bella,Florence,1610,1664,Italy,prentmaker
Henri de Toulouse-Lautrec,Albi,1864,1901,France,affiche-ontwerper
Charles-Joseph Traviès,Winterthur,1804,1859,Switzerland,prentmaker
Wijnand Nuijen,Den Haag,1813,1839,,prentmaker
William H. Griggs,Lambeth,1832,1911,United_Kingdom,drukker
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
Jacques Daniël Rijk,Leiden,1855,1912,Netherlands,fotograaf
Pieter van der Heyden,Antwerpen (stad),1540,1582,,prentmaker
Jakob von Sandrart,Frankfurt am Main,1630,1708,,prentmaker
Geldolph Adriaan Kessler,Batavia,1884,1945,,industrieel
Theodoor Koning,Amsterdam,1748,1829,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Mathias de Sallieth,Praag,1749,1791,,prentmaker
Rudolph Meyer,Zürich (stad),1605,1638,Switzerland,prentmaker
Jean Augustin Daiwaille,Keulen,1786,1850,,prentmaker
Willem Roelofs (I),Amsterdam,1822,1897,Netherlands,prentmaker
Sébastien Leclerc (I),Metz,1637,1714,France,prentmaker
Theodor Matham,Haarlem,1606,1676,Netherlands,prentmaker
Romeyn de Hooghe,Amsterdam,1645,1708,Netherlands,prentmaker
Henri Manesse,Rouen,1854,1940,France,prentmaker
Pieter Coecke van Aelst (I),Aalst,1502,1550,,prentmaker
Laurens Vincentsz. van der Vinne,Haarlem,1658,1729,Netherlands,tekenaar
Frans Hogenberg,Mechelen,1540,1590,Belgium,prentmaker
Johannes van Swinderen,Zutphen,1594,1636,Netherlands,schilder
Willem Witsen,Amsterdam,1860,1923,Netherlands,prentmaker
William England,Londen,1816,1896,,fotograaf
Carl Wilhelm Bauer,Keulen,1844,1911,,fotograaf
Seneca Ray Stoddard,Wilton,1844,1917,,fotograaf
Schelte Adamsz. Bolswert,Bolsward,1586,1659,Netherlands,prentmaker
Gaspar Bouttats,Antwerpen (stad),1640,1695,,prentmaker
Jacob Schwartzenbach,Veere,1763,1805,Netherlands,prentmaker
Louis Albert Bacler d'Albe,Saint-Pol-sur-Ternoise,1761,1848,,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Johann Nepomuk Strixner,Altötting,1782,1855,Germany,prentmaker
Adriaen Hendriksz. Verboom,Rotterdam,1627,1680,Netherlands,prentmaker
Matthäus Merian (I),Bazel,1593,1650,Belgium,prentmaker
Jacob de Gheyn (II),Antwerpen (stad),1565,1629,,schilder
Nicolaes de Bruyn,Antwerpen (stad),1571,1656,,prentmaker
Jacob Gole,Amsterdam,1660,1724,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Rembrandt van Rijn,Leiden,1606,1669,Netherlands,prentmaker
Jacques Callot,Nancy,1592,1635,,prentmaker
Jan Veth,Dordrecht,1864,1925,Netherlands,prentmaker
Tobias Gabriel Beck,Neurenberg,1685,1755,,prentmaker
Piet Verhaert,Antwerpen (stad),1852,1908,,prentmaker
Sebastian Furck,Alterkülz,1600,1655,Germany,prentmaker
Jurriaan Cootwijck,Amsterdam,1714,1798,Netherlands,prentmaker
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Thomas Chambars,Londen,1724,1789,,prentmaker
Pieter de Josselin de Jong,Sint-Oedenrode,1861,1906,,prentmaker
Pieter van der Meulen,Leeuwarden,1780,1858,Netherlands,prentmaker
Willem Springer jr.,Amsterdam,1815,1907,Netherlands,tekenaar
Jan Harmensz. Muller,Amsterdam,1571,1628,Netherlands,prentmaker
Isaac Israels,Amsterdam,1865,1934,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Willem Cornelis van Dijk,Utrecht,1826,1881,Netherlands,schilder
Peter Aubry (II),Straatsburg (Frankrijk),1610,1686,,prentmaker
Cornelis Saftleven,Gorinchem,1607,1681,,prentmaker
Abraham Rademaker,Lisse,1677,1735,Netherlands,prentmaker
Adriaen Matham,Haarlem,1599,1660,Netherlands,prentmaker
David van der Kellen (1804-1879),Amsterdam,1804,1879,Netherlands,prentmaker
Johannes Michiel Lageman,Amsterdam,1735,1809,Netherlands,zilversmid
Jan Jansz. van der Vinne,Haarlem,1734,1805,Netherlands,tekenaar
Franciscus de Bargas,,1667,1723,,prentmaker
George Townsend,Exeter,1813,1894,,prentmaker
Albert Hahn (I),Groningen,1877,1918,Netherlands,tekenaar
Albert Greiner,Titisee-Neustadt,1833,1890,,fotograaf
Hendrik Spilman,Amsterdam,1721,1784,Netherlands,prentmaker
Claude Mellan,Abbeville,1598,1688,France,prentmaker
Eugène Verboeckhoven,Warneton,1798,1881,France,prentmaker
Carel Frederik Bendorp (I),Sas-van-Gent,1736,1814,Netherlands,prentmaker
Vincent Laurensz. van der Vinne (II),Haarlem,1686,1742,Netherlands,prentmaker
Johan Michaël Schmidt Crans,Rotterdam,1830,1907,Netherlands,prentmaker
Mochizuki Gyokusen,Kioto,1794,1852,,schilder
Gerard Jan Bos,Utrecht,1860,1943,Netherlands,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Anne Claude Philippe Caylus,Parijs,1692,1765,,prentmaker
Jacques Androuet,Parijs,1515,1584,,prentmaker
Moses ter Borch,,1645,1667,,tekenaar
Nicolaes de Bruyn,Antwerpen (stad),1571,1656,,prentmaker
Ernst Willem Jan Bagelaar,Eindhoven,1775,1837,Netherlands,prentmaker
Theodor Creifelds,Koblenz,1815,1875,Germany,fotograaf
Giovanni Battista Falda,Valduggia,1643,1678,Italy,prentmaker
Daniël Marot (II),Londen,1695,1769,,tekenaar
Gabriel Blaise,Parijs,1827,1897,,drukker
Harmen Jansz Muller,Amsterdam,1540,1617,Netherlands,prentmaker
Wilhelmus Cornelis Chimaer van Oudendorp,Oostende,1822,1873,,prentmaker
Willem Jacobsz. Delff,Delft,1580,1638,,prentmaker
Jan van de Velde (II),Delft,1593,1641,,prentmaker
Carel Frederik Bendorp (I),Sas-van-Gent,1736,1814,Netherlands,prentmaker
Cornelis Visscher (II),Haarlem,1629,1658,Netherlands,prentmaker
John Doyle,,1797,1868,,prentmaker
Johann Friedrich Leonard,Duinkerke,1633,1680,,prentmaker
Alexandre (fotograaf),Parijs,1855,1925,,fotograaf
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Jacques Lalaing,Londen,1858,1917,,beeldhouwer
Pieter Sluyter,Amsterdam,1675,1733,Netherlands,prentmaker
Anton Mauve,Zaandam,1838,1888,Netherlands,prentmaker
Eduard Isaac Asser,Amsterdam,1809,1894,Netherlands,amateurfotograaf
Cornelis Danckerts (I),,1604,1656,,uitgever
Johannes de Mare,Amsterdam,1806,1889,Netherlands,prentmaker
Jan Toorop,Poerworedjo,1858,1928,,prentmaker
Jan de Bisschop,Amsterdam,1628,1671,Netherlands,prentmaker
Johan Christiaan Elin,Berlijn,1733,1787,,prentmaker
Martin Bernigeroth,,1670,1733,,prentmaker
Adriaen Collaert,Antwerpen (stad),1560,1618,,prentmaker
Isaac Gosschalk,Amsterdam,1838,1907,Netherlands,tekenaar
François Collignon,,1610,1687,,prentmaker
Émile Bernard,Lille,1868,1941,France,prentmaker
Jacob Wiener,Hörstgen,1815,1899,,medailleur
Léon Dolez,,1837,1902,,prentmaker
Edmond Bornand,,1873,1953,,fotograaf
Daniël Veelwaard (I),Amsterdam,1766,1851,Netherlands,prentmaker
Pierre-Ambroise Richebourg,Laignes,1810,1875,France,fotograaf
Peter Troschel,Neurenberg,1620,1670,,prentmaker
Anton Mauve,Zaandam,1838,1888,Netherlands,prentmaker
Lodewijk Schelfhout,Den Haag,1881,1943,,prentmaker
Ohara Koson,Kanazawa,1877,1945,Japan,prentmaker
Thomas R. Lewis,,1845,1901,,fotograaf
Maximilian Franck,Düsseldorf,1780,1830,Germany,prentmaker
Gerard Valck,Amsterdam,1652,1726,Netherlands,prentmaker
Georg Wolfgang Knorr,Neurenberg,1705,1761,,prentmaker
Tanaka Shûtei,,1810,1858,,prentmaker
Eugène Verboeckhoven,Warneton,1798,1881,France,prentmaker
Lambertus Hardenberg (1744),Leeuwarden,1744,1819,Netherlands,tekenaar
Charles Meryon,Parijs,1821,1868,,prentmaker
A.G.A. van Eelde,Lemmer,1862,1950,Netherlands,fotograaf
Paulus Pontius,Antwerpen (stad),1603,1658,,prentmaker
Jean Morin,Parijs,1609,1650,,prentmaker
Gerrit Oortman,Weesp,1781,1822,Netherlands,prentmaker
Émile Alfred Rousseaux,Abbeville,1831,1874,France,tekenaar
Achille Devéria,Parijs,1800,1857,,schilder
Alexandre Bertrand,Parijs,1822,1889,,fotograaf
Ohara Koson,Kanazawa,1877,1945,Japan,prentmaker
Jan van Brosterhuyzen,Leiden,1596,1650,Netherlands,prentmaker
Crispijn van de Passe (I),Arnemuiden,1564,1637,Netherlands,prentmaker
Frans Hogenberg,Mechelen,1540,1590,Belgium,prentmaker
Reinier van Persijn,Alkmaar,1614,1668,Netherlands,prentmaker
Maurits van der Valk,Amsterdam,1857,1935,Netherlands,prentmaker
Carl Mayer,Neurenberg,1798,1868,,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Caspar Luyken,Amsterdam,1672,1708,Netherlands,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Jan Veth,Dordrecht,1864,1925,Netherlands,prentmaker
Zacharias Dolendo,,1561,1604,,prentmaker
Coenraet Decker,Amsterdam,1650,1685,Netherlands,prentmaker
Augustinus Terwesten (I),Den Haag,1649,1711,,prentmaker
Franz Thonner,Wenen,1863,1928,,ontdekkingsreiziger
Marius Bauer,Den Haag,1867,1932,,prentmaker
Caspar Merian,Frankfurt am Main,1627,1689,,prentmaker
Reinier Vinkeles (I),Amsterdam,1741,1816,Netherlands,prentmaker
Theodor Creifelds,Koblenz,1815,1875,Germany,fotograaf
Marius Bauer,Den Haag,1867,1932,,prentmaker
Pietro Fontana,Bassano del Grappa,1762,1837,,prentmaker
Jean Lepautre,Parijs,1618,1682,,prentmaker
Aegidius Sadeler (II),Antwerpen (stad),1568,1629,,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
