name,city,birthDate,deathDate,nationality,occupation
Willem de Gier,Zaltbommel,1811,1890,Netherlands,prentmaker
Simon Charles Miger,Nemours,1736,1820,France,prentmaker
Isaac Weissenbruch,Den Haag,1826,1912,,prentmaker
Caspar Merian,Frankfurt am Main,1627,1689,,prentmaker
Henri de Louw,Den Haag,1851,1944,,fotograaf
Kōzaburō Tamamura,,1856,1923,,fotograaf
Hermann Eichens,Berlijn,1813,1886,,prentmaker
Paulus Lauters,Brussel (stad),1806,1875,,prentmaker
Michel Wolgemut,Neurenberg,1434,1519,,prentmaker
Carl Mayer,Neurenberg,1798,1868,,prentmaker
Caspar Luyken,Amsterdam,1672,1708,Netherlands,prentmaker
Robert Nanteuil,Reims,1623,1678,France,prentmaker
David Pièrre Giottino Humbert de Superville,Den Haag,1770,1849,,prentmaker
Johannes Tavenraat,Rotterdam,1809,1881,Netherlands,prentmaker
Virgilius Solis,Neurenberg,1514,1562,,prentmaker
Bernard Picart,Parijs,1673,1733,,prentmaker
Cornelis van Dalen (II),Amsterdam,1638,1664,Netherlands,prentmaker
Johann Heinrich Huber,Zürich (stad),1677,1712,Switzerland,prentmaker
Johannes Steyn,Amsterdam,1805,1840,Netherlands,prentmaker
Georges Michel,Parijs,1763,1843,,tekenaar
Johannes Meyer (II),Zürich (stad),1655,1712,Switzerland,prentmaker
Carel Adolph Lion Cachet,Amsterdam,1864,1945,Netherlands,prentmaker
Giovanni Battista Falda,Valduggia,1643,1678,Italy,prentmaker
Kazumasa Ogawa,Saitama,1860,1929,,fotograaf
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Georg Philipp Rugendas (I),Augsburg,1666,1742,Germany,prentmaker
Jan Brandes,Bodegraven,1743,1808,Netherlands,tekenaar
Jan van Vianen,Amsterdam,1680,1726,Netherlands,prentmaker
Gerard Sibelius,Amsterdam,1734,1785,Netherlands,prentmaker
Thomas Annan,Dairsie,1829,1887,,fotograaf
Isaac van Ostade,Haarlem,1621,1649,Netherlands,tekenaar
Johannes Petrus Schouberg,Den Haag,1798,1864,,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Ferdinand Kobell,Mannheim,1740,1799,Germany,prentmaker
Jacob Folkema,Dokkum,1692,1767,Netherlands,prentmaker
Anthonie van den Bos,Nijmegen,1763,1838,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Anselmus Boëtius de Boodt,Brugge,1550,1632,,arts
Leo Gestel,Woerden,1881,1941,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Andries Jager,Amsterdam,1825,1905,Netherlands,fotograaf
Thomas Annan,Dairsie,1829,1887,,fotograaf
Barend Hendrik Thier,Lüdinghausen,1743,1811,Germany,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Gillis van Scheyndel (I),,1595,1660,,prentmaker
David van der Kellen (1827-1895),Utrecht,1827,1895,Netherlands,prentmaker
Christian Romstet,Weimar,1640,1721,Germany,prentmaker
Jan Saenredam,Zaandam,1565,1607,Netherlands,prentmaker
Heinrich Aldegrever,Paderborn,1502,1561,Germany,prentmaker
Salvator Rosa,Napels,1615,1673,,schilder
Lilly Samuel,Antwerpen (stad),1909,1944,,fotograaf
Virgilius Solis,Neurenberg,1514,1562,,prentmaker
Jan Weissenbruch,Den Haag,1822,1880,,prentmaker
Jan Weissenbruch,Den Haag,1822,1880,,prentmaker
Alexander Ver Huell,Doesburg,1822,1897,Netherlands,prentmaker
Jacob Matham,Haarlem,1571,1631,Netherlands,prentmaker
François Magneé,Bergen (België),1798,1865,,prentmaker
Jan van Brosterhuyzen,Leiden,1596,1650,Netherlands,prentmaker
Pieter van Gunst,Amsterdam,1659,1731,Netherlands,prentmaker
Sébastien Leclerc (I),Metz,1637,1714,France,prentmaker
Gerard ter Borch (II),Zwolle,1617,1681,Netherlands,schilder
Jacques Androuet,Parijs,1515,1584,,prentmaker
Antonio Pazzi,,1706,1768,,prentmaker
Charles Bernhoeft,Luxemburg (stad),1859,1933,,fotograaf
Jan Luyken,Amsterdam,1649,1712,Netherlands,prentmaker
Michiel Jansz. van Mierevelt,Delft,1567,1641,,tekenaar
